Source,Destination,Start time,End time,Capacity,Flight Number
ATL,SFO,3:12 PM,5:44 PM,Boeing 737-900 ,DL 2054
ATL,SFO,9:47 AM,12:17 PM,Boeing 737-900 ,DL 570
ATL,SFO,7:59 PM,10:30 PM,Boeing 737-900 ,DL 2857
ATL,SFO,10:49 AM,1:23 PM,Boeing 737-900 ,DL 856
ATL,SFO,5:57 PM,8:30 PM,Boeing 757-300,DL 1191
ATL,SFO,8:10 AM,10:44 AM,Boeing 757-300 ,DL 2049
ATL,PHX,9:42 PM,11:59 PM,Airbus A321 ,DL 2167
ATL,PHX,8:00 PM,10:20 PM,Airbus A321 ,DL 1057
ATL,PHX,11:11 AM,1:35 PM,Airbus A320 ,AA 476
ATL,PHX,6:06 PM,8:35 PM,Airbus A320 ,AA 440
ATL,PHX,5:59 PM,8:19 PM,Airbus A321 ,DL 2021
ATL,PHX,3:40 PM,5:59 PM,Airbus A321 ,DL 2046
ATL,PHX,1:59 PM,4:21 PM,Airbus A321 ,DL 2271
ATL,PHX,8:00 AM,10:26 AM,Airbus A321 ,DL 1108
ATL,PHX,11:07 AM,1:32 PM,Airbus A321 ,DL 1041
ATL,SEA,5:36 PM,8:15 PM,Boeing 757-200,DL 1115
ATL,SEA,7:10 PM,9:51 PM,Boeing 757-232,DL 763
ATL,SEA,12:05 PM,2:40 PM,Boeing 757-200 ,DL 1437
ATL,SEA,10:20 AM,1:00 PM,Boeing 737-900 ,DL 2680
ATL,SEA,2:03 PM,4:43 PM,Boeing 737-900 ,DL 342
ATL,SEA,8:11 AM,10:44 AM,Boeing 757-200 ,DL 609
ATL,DEN,7:00 AM,8:33 AM,Boeing 737-800 ,UA 533
ATL,DEN,9:14 PM,10:39 PM,Boeing 737-900 ,DL 776
ATL,DEN,6:39 PM,8:05 PM,Boeing 737-900 ,DL 633
ATL,DEN,4:34 PM,6:10 PM,Airbus A320 ,UA 2308
ATL,DEN,1:19 PM,2:58 PM,Embraer 170 ,UA 3405 operated by Republic Airlines DBA UA Express
ATL,DEN,8:01 PM,9:40 PM,Embraer 170 ,UA 3562 operated by Republic Airlines DBA UA Express
ATL,DEN,1:16 PM,2:38 PM,Boeing 737-900 ,DL 1355
ATL,DEN,11:55 AM,1:17 PM,Boeing 737-900 ,DL 2590
ATL,DEN,3:00 PM,4:26 PM,Airbus A319 ,DL 498
ATL,DEN,8:12 AM,9:40 AM,Boeing 737-900 ,DL 1816
ATL,DEN,9:55 AM,11:21 AM,Boeing 757-300,DL 1547
ATL,ORD,7:45 AM,9:02 AM,Boeing 737-900 ,UA 251
ATL,ORD,9:45 PM,11:05 PM,Embraer 175 (Enhanced Winglets) ,UA 4288 operated by Expressjet Airlines DBA UA Express
ATL,ORD,1:42 PM,2:55 PM,Airbus A319 ,UA 260
ATL,ORD,3:41 PM,4:55 PM,Embraer 175 (Enhanced Winglets) ,UA 5921 operated by Skywest DBA UA Express
ATL,ORD,10:48 AM,12:05 PM,Boeing 737-800 ,UA 241
ATL,ORD,7:05 PM,8:25 PM,Embraer 175 (Enhanced Winglets) ,UA 3400 operated by Republic Airlines DBA UA Express
ATL,ORD,3:05 PM,4:11 PM,Boeing (Douglas) MD-88,DL 1612
ATL,ORD,11:18 AM,12:25 PM,Boeing (Douglas) MD-88,DL 812
ATL,ORD,8:43 PM,9:50 PM,Boeing 717,DL 1958
ATL,ORD,4:10 PM,5:20 PM,Boeing (Douglas) MD-88,DL 1906
ATL,ORD,7:24 PM,8:34 PM,Boeing 717,DL 2617
ATL,ORD,7:56 PM,9:06 PM,Embraer 175,AA 4154 operated by Envoy Air As American Eagle
ATL,ORD,6:12 AM,7:23 AM,Airbus A319,AA 2893
ATL,ORD,7:45 AM,8:56 AM,Airbus A319,AA 1574
ATL,ORD,5:53 PM,7:17 PM,Airbus A319,AA 1691
ATL,ORD,10:42 PM,11:37 PM,Airbus A321,DL 2357
ATL,ORD,10:07 AM,11:19 AM,Boeing (Douglas) MD-90,DL 972
ATL,ORD,7:25 AM,8:35 AM,Boeing (Douglas) MD-88,DL 2012
ATL,ORD,11:57 AM,1:09 PM,Embraer 175,AA 3521 operated by Envoy Air As American Eagle
ATL,ORD,8:45 AM,9:48 AM,Boeing 717,DL 2183
ATL,ORD,1:45 PM,2:52 PM,Boeing 717,DL 446
ATL,BOS,12:25 PM,2:54 PM,Airbus A321 ,DL 2792
ATL,BOS,9:10 PM,11:39 PM,Airbus A321 ,DL 1200
ATL,BOS,10:28 AM,1:00 PM,Airbus A321 ,DL 2102
ATL,BOS,4:43 PM,7:15 PM,Airbus A321 ,DL 1800
ATL,BOS,7:57 PM,10:30 PM,Boeing 757-200,DL 2100
ATL,BOS,6:00 PM,8:35 PM,Airbus A321 ,DL 122
ATL,BOS,3:08 PM,5:44 PM,Airbus A321 ,DL 1274
ATL,BOS,6:00 AM,8:27 AM,Airbus A321 ,DL 1681
ATL,BOS,8:55 AM,11:22 AM,Airbus A321 ,DL 2796
ATL,BOS,1:45 PM,4:16 PM,Boeing 757-300 ,DL 2977
ATL,BOS,7:30 AM,10:02 AM,Airbus A321 ,DL 2647
ATL,IAD,5:55 AM,7:35 AM,Canadair Regional Jet 700 ,UA 6098 operated by Mesa Airlines DBA UA Express
ATL,IAD,8:15 PM,9:58 PM,Boeing 737-700,DL 1839
ATL,IAD,7:40 PM,9:25 PM,Canadair Regional Jet 700 ,UA 6012 operated by Mesa Airlines DBA UA Express
ATL,IAD,2:35 PM,4:23 PM,Airbus A319 ,UA 236
ATL,IAD,9:50 AM,11:31 AM,Boeing (Douglas) MD-88,DL 340
ATL,IAD,3:25 PM,5:06 PM,Boeing 717,DL 1359
ATL,IAD,5:26 PM,7:07 PM,Boeing 717,DL 1442
ATL,IAD,12:59 PM,2:39 PM,Boeing 717,DL 1317
ATL,IAD,7:33 AM,9:15 AM,Boeing 717,DL 2578
ORD,JFK,3:09 PM,6:35 PM,Canadair Regional Jet 900,DL 4760 operated by Endeavor Air DBA DL Connection
ORD,JFK,11:44 AM,2:57 PM,Boeing 737-800 ,AA 272
ORD,JFK,6:00 AM,9:13 AM,Canadair Regional Jet 900,DL 4851 operated by Endeavor Air DBA DL Connection
ORD,JFK,6:52 PM,10:22 PM,Canadair Regional Jet 900,DL 5223 operated by Endeavor Air DBA DL Connection
ORD,JFK,10:35 AM,1:56 PM,Canadair Regional Jet 900,DL 4957 operated by Endeavor Air DBA DL Connection
ORD,SFO,7:04 AM,10:00 AM,Boeing 737-800 ,AA 345
ORD,SFO,8:30 AM,11:08 AM,Boeing 777-200 ,UA 761
ORD,SFO,10:00 AM,12:46 PM,Boeing 757-300 ,UA 1891
ORD,SFO,11:25 AM,2:22 PM,Boeing 737-900 ,UA 499
ORD,SFO,6:11 PM,9:10 PM,Boeing 737-900 ,UA 422
ORD,SFO,8:33 PM,11:32 PM,Boeing 757-300 ,UA 1742
ORD,SFO,6:00 AM,8:43 AM,Boeing 737-800 ,UA 2166
ORD,SFO,4:05 PM,6:54 PM,Boeing 757-300 ,UA 248
ORD,SFO,1:00 PM,3:53 PM,Airbus A320 ,UA 1790
ORD,SFO,2:45 PM,5:37 PM,Boeing 737-800 ,AA 2639
ORD,SFO,8:20 PM,11:13 PM,Boeing 737-800 ,AA 709
ORD,SFO,5:01 PM,7:56 PM,Boeing 737-800 ,AA 2798
ORD,SFO,10:55 AM,1:52 PM,Boeing 737-800 ,AA 2634
ORD,PHX,8:00 AM,11:01 AM,Airbus A320 ,UA 667
ORD,PHX,1:30 PM,4:29 PM,Airbus A320 ,UA 373
ORD,PHX,10:03 AM,1:03 PM,Boeing 737-900 ,UA 725
ORD,PHX,7:05 AM,10:09 AM,Airbus A321 ,AA 447
ORD,PHX,7:37 PM,10:40 PM,Boeing 737-900 ,UA 483
ORD,PHX,8:33 PM,11:30 PM,Airbus A321 ,AA 2097
ORD,PHX,3:47 PM,6:41 PM,Boeing 737-800 ,AA 630
ORD,PHX,5:10 PM,8:04 PM,Airbus A321 ,AA 1969
ORD,PHX,8:21 AM,11:19 AM,Airbus A321 ,AA 797
ORD,PHX,1:27 PM,4:25 PM,Boeing 737-800 ,AA 601
ORD,PHX,9:40 AM,12:41 PM,Airbus A321 ,AA 200
ORD,PHX,10:55 AM,1:54 PM,Airbus A321 ,AA 562
ORD,SEA,2:00 PM,4:45 PM,Airbus A319 ,DL 3078
ORD,SEA,7:00 PM,9:49 PM,Airbus A319 ,DL 1544
ORD,SEA,7:47 PM,10:35 PM,Boeing 737-900 ,UA 262
ORD,SEA,9:25 AM,12:12 PM,Boeing 737-800 ,UA 1846
ORD,SEA,6:08 AM,8:55 AM,Airbus A319 ,DL 487
ORD,SEA,5:40 PM,8:24 PM,Boeing 737-800 ,AA 1485
ORD,SEA,11:53 AM,2:38 PM,Boeing 737-800 ,AA 1165
ORD,SEA,9:55 AM,12:48 PM,Boeing 737-800 ,AA 1045
ORD,SEA,4:00 PM,6:43 PM,Boeing 737-800 ,UA 2170
ORD,SEA,10:17 AM,1:04 PM,Boeing 737-800 ,UA 635
ORD,DEN,8:45 PM,10:29 PM,Boeing 737-800 ,AA 1387
ORD,DEN,6:45 AM,8:28 AM,Boeing 757-300 ,UA 403
ORD,DEN,5:57 PM,7:41 PM,Boeing 737-900 ,UA 692
ORD,DEN,6:00 AM,7:45 AM,Boeing 737-800 ,UA 2476
ORD,DEN,7:45 PM,9:33 PM,Boeing 757-200 ,UA 269
ORD,DEN,8:04 AM,10:00 AM,Boeing 757-300 ,UA 675
ORD,DEN,10:23 AM,12:19 PM,Boeing 757-300 ,UA 501
ORD,DEN,11:50 AM,1:35 PM,Boeing 737-800 ,AA 317
ORD,DEN,1:45 PM,3:30 PM,Airbus A320 ,AA 309
ORD,DEN,12:45 PM,2:30 PM,Boeing 757-300 ,UA 775
ORD,DEN,2:24 PM,4:09 PM,Boeing 757-300 ,UA 2220
ORD,DEN,4:00 PM,5:45 PM,Boeing 757-300 ,UA 407
ORD,DEN,9:59 AM,11:49 AM,Airbus A319 ,AA 2470
ORD,ATL,1:10 PM,4:07 PM,Boeing (Douglas) MD-88,DL 812
ORD,ATL,5:30 AM,8:29 AM,Airbus A321,DL 977
ORD,ATL,4:55 PM,7:56 PM,Boeing (Douglas) MD-88,DL 1612
ORD,ATL,7:53 PM,10:55 PM,Boeing 717,DL 805
ORD,ATL,12:04 PM,3:07 PM,Boeing (Douglas) MD-90,DL 972
ORD,ATL,6:05 PM,9:12 PM,Boeing (Douglas) MD-88,DL 1906
ORD,ATL,12:55 PM,4:04 PM,Embraer 175 (Enhanced Winglets) ,UA 4049 operated by Expressjet Airlines DBA UA Express
ORD,ATL,2:16 PM,5:25 PM,Airbus A320 ,UA 305
ORD,ATL,8:17 AM,11:19 AM,Boeing 717,DL 475
ORD,ATL,9:20 AM,12:23 PM,Boeing (Douglas) MD-88,DL 2012
ORD,ATL,3:00 PM,6:01 PM,Boeing 717,DL 2890
ORD,ATL,7:15 AM,10:15 AM,Airbus A319,AA 1452
ORD,ATL,7:00 PM,10:03 PM,Airbus A319,AA 2366
ORD,ATL,7:31 AM,10:32 AM,Boeing 717,DL 1480
ORD,ATL,5:55 PM,9:09 PM,Embraer 175 (Enhanced Winglets) ,UA 4145 operated by Expressjet Airlines DBA UA Express
ORD,ATL,6:00 AM,9:05 AM,Airbus A319 ,UA 1155
ORD,ATL,5:00 PM,7:57 PM,Airbus A319,AA 2385
ORD,ATL,9:32 AM,12:43 PM,Embraer 170 ,UA 3553 operated by Republic Airlines DBA UA Express
ORD,ATL,10:28 AM,1:28 PM,Boeing 717,DL 2183
ORD,ATL,3:26 PM,6:36 PM,Embraer 175,AA 4154 operated by Envoy Air As American Eagle
ORD,ATL,8:11 AM,11:25 AM,Embraer 175,AA 3521 operated by Envoy Air As American Eagle
ORD,BOS,6:00 AM,9:12 AM,Airbus A320 ,UA 342
ORD,BOS,7:45 AM,10:57 AM,Boeing 737-800 ,UA 1572
ORD,BOS,5:14 PM,8:26 PM,Boeing 737-800 ,AA 1251
ORD,BOS,8:35 PM,11:50 PM,Boeing 737-800 ,AA 2682
ORD,BOS,3:10 PM,6:26 PM,Boeing 737-800 ,AA 2321
ORD,BOS,7:10 AM,10:27 AM,Boeing 737-800 ,AA 2384
ORD,BOS,8:19 AM,11:36 AM,Boeing 737-800 ,AA 2723
ORD,BOS,6:30 PM,9:52 PM,Boeing 737-800 ,AA 1172
ORD,BOS,6:15 PM,9:40 PM,Boeing 737-800 ,UA 790
ORD,BOS,9:23 AM,12:35 PM,Airbus A319 ,UA 1420
ORD,BOS,2:00 PM,5:20 PM,Airbus A320 ,UA 578
ORD,BOS,11:55 AM,3:22 PM,Embraer 175,DL 6139 operated by Republic Airways DL Connection
ORD,BOS,7:55 PM,11:23 PM,Embraer 175,DL 5912 operated by Republic Airways DL Connection
ORD,BOS,2:45 PM,6:12 PM,Embraer 170,DL 6142 operated by Republic Airways DL Connection
ORD,BOS,8:53 AM,12:24 PM,Embraer 175,DL 5904 operated by Republic Airways DL Connection
ORD,IAD,9:15 PM,11:59 PM,Boeing 737-900 ,UA 2000
ORD,IAD,6:15 AM,9:00 AM,Airbus A320 ,UA 2198
ORD,IAD,1:00 PM,3:47 PM,Airbus A320 ,UA 340
ORD,IAD,9:00 AM,11:50 AM,Airbus A319 ,UA 632
ORD,IAD,6:15 PM,9:13 PM,Airbus A320 ,UA 843
BOS,JFK,12:17 PM,1:39 PM,Airbus A321,AA 351
BOS,JFK,6:01 AM,7:26 AM,Boeing 737-800,AA 197
BOS,JFK,10:50 AM,12:15 PM,Embraer 175,DL 6128 operated by Republic Airways DL Connection
BOS,JFK,8:30 AM,9:56 AM,Canadair Regional Jet 900,DL 5419 operated by Endeavor Air DBA DL Connection
BOS,JFK,9:33 AM,10:59 AM,Airbus A321,AA 1283
BOS,JFK,12:40 PM,2:10 PM,Embraer 175,DL 5992 operated by Republic Airways DL Connection
BOS,JFK,5:10 PM,6:40 PM,Airbus A319,DL 3022
BOS,JFK,7:59 PM,9:29 PM,McDonnell Douglas MD-88,DL 1360
BOS,JFK,6:00 AM,7:32 AM,Airbus A319,DL 928
BOS,JFK,2:05 PM,3:30 PM,Canadair Regional Jet 900,DL 5360 operated by Endeavor Air DBA DL Connection
BOS,SFO,6:00 AM,9:50 AM,Boeing 757-200 ,UA 433
BOS,SFO,8:15 AM,12:08 PM,Boeing 757-200 ,UA 207
BOS,SFO,3:40 PM,7:36 PM,Boeing 757-200 ,UA 351
BOS,SFO,7:40 AM,11:47 AM,Boeing 757-200,DL 2488
BOS,SFO,10:30 AM,2:24 PM,Boeing 757-200 ,UA 477
BOS,SFO,5:53 PM,9:50 PM,Boeing 757-200 ,UA 2400
BOS,PHX,4:11 PM,8:34 PM,Airbus A321 ,AA 403
BOS,PHX,12:53 PM,5:14 PM,Airbus A321 ,AA 1057
BOS,PHX,6:00 AM,10:28 AM,Airbus A321 ,AA 2260
BOS,PHX,9:35 AM,2:00 PM,Boeing 737-800 ,AA 2229
BOS,SEA,6:40 AM,10:19 AM,Boeing 757-200 ,DL 2991
BOS,DEN,5:45 AM,8:33 AM,Boeing 737-900 ,UA 647
BOS,DEN,3:17 PM,6:10 PM,Boeing 737-900 ,UA 448
BOS,DEN,9:34 AM,12:22 PM,Boeing 737-800 ,UA 416
BOS,DEN,11:52 AM,2:40 PM,Boeing 737-800 ,UA 652
BOS,ATL,6:44 PM,9:45 PM,Airbus A321 ,DL 2643
BOS,ATL,8:15 PM,11:19 PM,Airbus A321 ,DL 2570
BOS,ATL,5:16 PM,8:23 PM,Boeing 757-300 ,DL 1500
BOS,ATL,5:45 AM,8:54 AM,Boeing 737-900 ,DL 2552
BOS,ATL,11:00 AM,1:57 PM,Airbus A321 ,DL 800
BOS,ATL,2:00 PM,4:57 PM,Airbus A321 ,DL 1077
BOS,ATL,12:22 PM,3:21 PM,Airbus A321 ,DL 2749
BOS,ATL,8:00 AM,11:01 AM,Boeing 757-300,DL 2648
BOS,ATL,3:55 PM,6:56 PM,Airbus A321 ,DL 123
BOS,ATL,9:25 AM,12:25 PM,Airbus A321 ,DL 1880
BOS,ATL,7:00 AM,10:05 AM,Airbus A321 ,DL 1501
BOS,ORD,1:20 PM,3:18 PM,Airbus A319 ,UA 1564
BOS,ORD,4:40 PM,6:38 PM,Airbus A320 ,UA 599
BOS,ORD,6:25 PM,8:23 PM,Airbus A320 ,UA 439
BOS,ORD,7:59 PM,9:57 PM,Airbus A320 ,UA 789
BOS,ORD,7:00 AM,9:00 AM,Boeing 737-900 ,UA 449
BOS,ORD,10:00 AM,12:00 PM,Airbus A320 ,UA 1251
BOS,ORD,6:00 AM,8:05 AM,Boeing 737-800 ,AA 2265
BOS,ORD,7:14 PM,9:22 PM,Boeing 737-800 ,AA 1109
BOS,ORD,1:30 PM,3:33 PM,Airbus A321 ,AA 2264
BOS,ORD,12:07 PM,2:12 PM,Boeing 737-800 ,AA 1287
BOS,ORD,8:50 AM,10:57 AM,Boeing 737-800 ,AA 1239
BOS,ORD,12:10 PM,2:15 PM,Embraer 170,DL 6142 operated by Republic Airways DL Connection
BOS,ORD,9:15 AM,11:22 AM,Embraer 175,DL 6139 operated by Republic Airways DL Connection
BOS,ORD,7:59 PM,10:06 PM,Embraer 175,DL 6133 operated by Republic Airways DL Connection
BOS,ORD,5:10 PM,7:20 PM,Embraer 175,DL 5912 operated by Republic Airways DL Connection
BOS,ORD,6:10 AM,8:23 AM,Embraer 175,DL 5904 operated by Republic Airways DL Connection
BOS,ORD,7:00 AM,9:10 AM,Boeing 737-800 ,AA 1509
BOS,IAD,5:55 AM,7:35 AM,Boeing 737-900,UA 389
BOS,IAD,7:34 PM,9:17 PM,Airbus A319,UA 2136
BOS,IAD,9:45 AM,11:25 AM,Boeing 737-900,UA 525
BOS,IAD,2:35 PM,4:19 PM,Boeing 737-900,UA 511
IAD,JFK,10:33 AM,11:44 AM,Canadair Regional Jet 900,DL 4859 operated by Endeavor Air DBA DL Connection
IAD,JFK,3:42 PM,4:59 PM,Embraer E175,DL 4867 operated by Endeavor Air DBA DL Connection
IAD,JFK,6:00 AM,7:30 AM,Bombardier CRJ-200,DL 5115 operated by Endeavor Air DBA DL Connection
IAD,SFO,4:00 PM,7:12 PM,Boeing 737-900 ,UA 560
IAD,SFO,6:00 AM,9:14 AM,Boeing 737-900 ,UA 572
IAD,SFO,5:30 PM,8:29 PM,Boeing 777-200 ,UA 340
IAD,SFO,6:45 PM,10:00 PM,Boeing 757-200 ,UA 1893
IAD,SFO,12:35 PM,3:47 PM,Boeing 737-800 ,UA 2008
IAD,SFO,8:15 AM,11:31 AM,Boeing 757-200 ,UA 424
IAD,PHX,5:50 PM,9:07 PM,Boeing 737-900 ,UA 2110
IAD,SEA,5:00 PM,8:09 PM,Airbus A319 ,DL 2220
IAD,SEA,5:30 PM,8:30 PM,Boeing 737-900 ,UA 326
IAD,SEA,8:30 AM,11:35 AM,Boeing 737-900 ,UA 1964
IAD,DEN,5:25 AM,7:21 AM,Boeing 737-900 ,UA 1108
IAD,DEN,7:35 PM,9:32 PM,Boeing 737-800 ,UA 2305
IAD,DEN,4:00 PM,6:02 PM,Boeing 737-900 ,UA 542
IAD,DEN,5:30 PM,7:40 PM,Boeing 737-900 ,UA 980
IAD,DEN,8:15 AM,10:15 AM,Boeing 787-8 ,UA 1889
IAD,DEN,12:50 PM,2:52 PM,Boeing 737-800 ,UA 1908
IAD,ATL,12:15 PM,2:14 PM,Boeing (Douglas) MD-88,DL 340
IAD,ATL,7:46 PM,9:45 PM,Boeing 717,DL 1442
IAD,ATL,8:25 AM,10:28 AM,Airbus A319 ,UA 2368
IAD,ATL,5:45 PM,7:52 PM,Boeing 717,DL 1359
IAD,ATL,9:54 AM,11:47 AM,Boeing 717,DL 2578
IAD,ATL,5:05 PM,7:04 PM,Canadair Regional Jet 700 ,UA 6012 operated by Mesa Airlines DBA UA Express
IAD,ATL,6:00 AM,7:57 AM,Boeing 717,DL 1520
IAD,ATL,7:00 AM,9:03 AM,Boeing (Douglas) MD-88,DL 548
IAD,ATL,3:18 PM,5:10 PM,Boeing 717,DL 1317
IAD,ATL,12:45 PM,2:48 PM,Canadair Regional Jet 700 ,UA 6201 operated by Mesa Airlines DBA UA Express
IAD,BOS,10:15 PM,11:49 PM,Boeing 737-900,UA 352
IAD,BOS,12:45 PM,2:19 PM,Boeing 737-900,UA 655
IAD,BOS,8:30 AM,10:09 AM,Airbus A320,UA 641
IAD,BOS,5:11 PM,6:49 PM,Airbus A319,UA 822
IAD,ORD,10:15 PM,11:22 PM,Airbus A320 ,UA 552
IAD,ORD,12:45 PM,1:55 PM,Airbus A319 ,UA 276
IAD,ORD,10:30 AM,11:41 AM,Airbus A320 ,UA 721
IAD,ORD,5:20 PM,6:35 PM,Airbus A320 ,UA 1924
IAD,ORD,6:00 AM,7:05 AM,Boeing 737-700 ,UA 1846
IAD,ORD,8:15 AM,9:31 AM,Boeing 737-900 ,UA 374
